Date,Open,High,Low,Close,Adj Close,Volume
2019-11-01,57.939999,58.680000,55.259998,55.590000,55.590000,666327704
2019-12-01,55.470001,62.340000,0.000000,61.060001,61.060001,3457298810
2020-01-01,61.599998,65.650002,50.970001,51.630001,51.630001,5517652662
2020-02-01,51.009998,54.500000,43.849998,50.110001,50.110001,5631991636
2020-03-01,43.720001,48.660000,19.270000,20.480000,20.480000,2552700427
2020-04-01,20.100000,29.129999,-40.320000,18.840000,18.840000,23697126
2020-05-01,19.040001,35.770000,18.049999,35.270000,35.270000,68884291
2020-06-01,35.209999,41.630001,34.270000,39.270000,39.270000,11072721
2020-07-01,39.840000,42.400002,38.540001,40.270000,40.270000,8591866
2020-08-01,40.389999,43.779999,39.580002,42.610001,42.610001,8719901
2020-09-01,42.830002,43.430000,36.130001,40.220001,40.220001,7025110
2020-10-01,39.900002,41.700001,34.919998,35.790001,35.790001,7685767
2020-11-01,35.240002,43.060001,33.639999,40.130001,40.130001,4372007
2020-11-13,40.939999,40.939999,40.060001,40.119999,40.119999,309998